index,Region of Incident,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Location Coordinates,Migration Route,latitud,longitud,temperatureMax,temperatureMin,uvIndex
135,Mediterranean,2019,Jan,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Drowning,Libya,"31.224587793151, 16.529299112716",Central Mediterranean,31.224587793151,16.529299112716,62.24,48.47,3
136,US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Central America to US,32.057499,-111.6660725,65.06,43.68,2
137,Mediterranean,2019,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Spain,"36.685755388762, -2.777835705707",Western Mediterranean,36.685755388762,-2.777835705707,77.38,53.66,9
138,Mediterranean,2019,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Spain,"36.485367400000, -4.738263000000",Western Mediterranean,36.4853674,-4.738263,61.27,60.3,3
139,South America,2019,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Dehydration,Colombia,"2.352686000000, -76.683352000000",Unknown,2.352686,-76.683352,66.24,51.44,2
140,Mediterranean,2019,Jan,1.0,Unknown,1,67.0,Unknown,Unknown,Unknown,Drowning,Spain,"35.886028764776, -3.811126192952",Western Mediterranean,35.886028764776,-3.811126192952,64.31,45.71,4
141,Mediterranean,2019,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Spain,"36.184741288501, -5.915458663672",Western Mediterranean,36.184741288501,-5.915458663672,68.21,64.92,3
142,Mediterranean,2019,Jan,6.0,Unknown,6,Unknown,Unknown,Unknown,Unknown,Drowning,Libya,"31.208814747402, 16.594403365833",Central Mediterranean,31.208814747402,16.594403365833,63.58,59.2,3
143,US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.276924900000, -112.859884600000",Central America to US,32.2769249,-112.8598846,87.02,64.64,5
146,Mediterranean,2018,Dec,Unknown,7.0,7,1.0,Unknown,Unknown,Unknown,Drowning,Libya,"34.869024451220, 34.492835772639",Eastern Mediterranean,34.86902445122,34.492835772639,48.72,39.14,1
147,US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"California, USA","32.541882023698, -117.133734140230",Central America to US,32.541882023698,-117.13373414023,82.93,51.19,5
148,US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,Mexico,"27.028916988435, -98.070345308930",Unknown,27.028916988435,-98.07034530893,64.35,58.0,3
149,Europe,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Italy,"43.609902506139, 13.456590016544",Unknown,43.609902506139,13.456590016544,63.55,48.23,3
150,US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Weather conditions,"Texas, USA","28.759006919815, -100.519348400100",Central America to US,28.759006919815,-100.5193484001,59.98,42.7,2
151,Mediterranean,2018,Dec,4.0,Unknown,4,56.0,Unknown,Unknown,Unknown,Drowning,Morocco,"35.481680686032, -3.342110714760",Western Mediterranean,35.481680686032,-3.34211071476,63.08,53.88,2
153,Mediterranean,2018,Dec,Unknown,12.0,12,Unknown,1.0,11.0,Unknown,Drowning,Morocco,"35.940386653024, -5.940460712849",Western Mediterranean,35.940386653024,-5.940460712849,56.88,41.63,2
154,Middle East,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,Syria,"35.963071341506, 36.294640216232",Unknown,35.963071341506,36.294640216232,63.73,60.95,2
155,Mediterranean,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Spain,"35.914961693807, -5.380634704776",Western Mediterranean,35.914961693807,-5.380634704776,83.85,52.0,5
156,Middle East,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,Syria,"36.010976380608, 36.291893634201",Unknown,36.010976380608,36.291893634201,64.29,62.09,2
157,Mediterranean,2018,Dec,12.0,12.0,24,31.0,2.0,10.0,Unknown,Drowning,Spain,"36.385858171134, -2.625576919231",Western Mediterranean,36.385858171134,-2.625576919231,63.72,56.8,2
158,US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"Texas, USA","28.655830400381, -100.480611280930",Central America to US,28.655830400381,-100.48061128093,59.04,44.06,4
159,Mediterranean,2018,Dec,1.0,Unknown,1,56.0,Unknown,Unknown,Unknown,Unknown,Spain,"35.862101496706, -3.230474337214",Western Mediterranean,35.862101496706,-3.230474337214,30.93,20.57,1
160,Mediterranean,2018,Dec,8.0,12.0,20,9.0,3.0,1.0,2.0,Drowning,Algeria,"36.656665744128, 1.229045427169",Western Mediterranean,36.656665744128,1.229045427169,83.46,51.63,5
161,US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","31.785528500000, -111.466392500000",Central America to US,31.7855285,-111.4663925,63.97,61.93,2
162,Europe,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Serbia,"45.121869068460, 19.213236824545",Unknown,45.12186906846,19.213236824545,56.44,45.94,3
163,US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,1.0,Drowning,Mexico,"28.702360352070, -100.511538546900",Central America to US,28.70236035207,-100.5115385469,59.38,42.94,3
164,Mediterranean,2018,Dec,1.0,Unknown,1,58.0,Unknown,1.0,Unknown,Drowning,Spain,"36.174642255222, -3.809567348437",Western Mediterranean,36.174642255222,-3.809567348437,56.69,42.18,4
166,US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,"Texas, USA","31.897189083031, -106.439103643990",Central America to US,31.897189083031,-106.43910364399,62.7,45.96,4
167,US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","32.402664900000, -111.427588800000",Central America to US,32.4026649,-111.4275888,61.41,46.34,4
168,US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.589492200000, -111.363378900000",Central America to US,31.5894922,-111.3633789,60.24,45.47,4
169,US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.331803200000, -112.524509300000",Central America to US,32.3318032,-112.5245093,83.7,75.57,7
170,US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Unknown,"Arizona, USA","31.814869000000, -111.822328500000",Central America to US,31.814869,-111.8223285,63.27,56.53,3
171,US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Central America to US,32.057499,-111.6660725,80.69,46.96,5
172,Caribbean,2018,Dec,2.0,4.0,6,5.0,1.0,Unknown,Unknown,Drowning,Puerto Rico,"19.112562500000, -69.313437500000",Unknown,19.1125625,-69.3134375,46.89,30.1,2
173,US-Mexico Border,2018,Dec,2.0,Unknown,2,1.0,Unknown,2.0,2.0,Murdered,Mexico,"32.538296700000, -117.014062400000",Central America to US,32.5382967,-117.0140624,84.67,62.62,5
174,US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Texas, USA","29.827611906085, -102.592432413280",Unknown,29.827611906085,-102.59243241328,64.64,58.49,3
175,Europe,2018,Dec,3.0,Unknown,3,Unknown,Unknown,3.0,Unknown,Accident,Greece,"40.989655000000, 24.630244000000",Unknown,40.989655,24.630244,60.24,45.47,4
176,US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"27.630474000000, -99.625893000000",Central America to US,27.630474,-99.625893,73.0,56.9,3
177,Mediterranean,2018,Dec,2.0,Unknown,2,49.0,Unknown,Unknown,Unknown,Drowning,Spain,"35.555360000000, -3.233348000000",Western Mediterranean,35.55536,-3.233348,87.26,62.8,6
178,US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Central America to US,32.057499,-111.6660725,84.66,62.6,5
179,US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"California, USA","32.665484522394, -115.502037019710",Central America to US,32.665484522394,-115.50203701971,86.39,59.66,5
180,US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Texas, USA","26.182455064507, -98.379822163351",Unknown,26.182455064507,-98.379822163351,87.87,68.24,8
181,US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"27.629882000000, -99.626826000000",Central America to US,27.629882,-99.626826,58.11,47.5,3
182,US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Drowning,Mexico,"28.337657000000, -100.308865000000",Central America to US,28.337657,-100.308865,83.74,64.65,5
183,Central America,2018,Dec,1.0,Unknown,1,3.0,1.0,Unknown,Unknown,Murdered,Mexico,"17.997026000000, -95.385768000000",Unknown,17.997026,-95.385768,63.36,55.58,2
184,US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,1.0,Unknown,1.0,Sickness and lack of access to medicines,Mexico,"31.770748000000, -106.499407000000",Central America to US,31.770748,-106.499407,42.04,17.65,2
185,US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Drowning,"Texas, USA","27.427587000000, -99.491763000000",Central America to US,27.427587,-99.491763,72.93,57.11,3
187,Mediterranean,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Spain,"35.948083000000, -5.277967000000",Western Mediterranean,35.948083,-5.277967,68.93,63.84,3
188,Middle East,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Weather conditions,Turkey,"41.090092000000, 26.347378000000",Unknown,41.090092,26.347378,61.23,56.47,2
189,US-Mexico Border,2018,Dec,1.0,Unknown,1,2.0,Unknown,1.0,Unknown,Drowning,"California, USA","32.659213618060, -115.577444479100",Central America to US,32.65921361806,-115.5774444791,87.08,62.73,6
190,Mediterranean,2018,Dec,12.0,3.0,15,10.0,Unknown,Unknown,Unknown,Drowning,Libya,"32.835794000000, 15.372368000000",Central Mediterranean,32.835794,15.372368,39.7,20.25,2
191,Mediterranean,2018,Dec,3.0,3.0,6,5.0,Unknown,2.0,Unknown,Drowning,Algeria,"36.993449000000, 4.395623000000",Western Mediterranean,36.993449,4.395623,86.96,62.66,6
192,US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Drowning,"Texas, USA","26.160750000000, -98.349042000000",Central America to US,26.16075,-98.349042,63.67,60.59,2
193,Middle East,2018,Dec,3.0,Unknown,3,1.0,Unknown,2.0,Unknown,Weather conditions,Greece,"41.306959000000, 26.519596000000",Unknown,41.306959,26.519596,78.86,67.22,4
194,US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"26.150512000000, -98.338580000000",Central America to US,26.150512,-98.33858,87.27,64.8,5
195,Mediterranean,2018,Dec,2.0,Unknown,2,32.0,Unknown,2.0,Unknown,Drowning,Algeria,"36.206410000000, -0.440445000000",Western Mediterranean,36.20641,-0.440445,66.64,47.2,4
196,US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Drowning,"Texas, USA","25.886732000000, -97.518249000000",Central America to US,25.886732,-97.518249,86.65,38.78,5
197,US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","27.122955000000, -98.093600000000",Central America to US,27.122955,-98.0936,63.33,57.34,3
198,US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","31.916318900000, -112.935779900000",Central America to US,31.9163189,-112.9357799,62.49,59.14,2
199,US-Mexico Border,2018,Dec,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Sickness and lack of access to medicines,"Texas, USA","29.608160591764, -102.883570108590",Unknown,29.608160591764,-102.88357010859,63.67,61.3,2
200,Europe,2018,Dec,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Weather conditions,Serbia,"45.081655670171, 19.196530946899",Unknown,45.081655670171,19.196530946899,83.69,64.19,5
201,US-Mexico Border,2018,Nov,1.0,Unknown,1,1.0,Unknown,1.0,Unknown,Accident,Mexico,"32.534377000000, -117.066199000000",Central America to US,32.534377,-117.066199,50.13,43.69,3
203,Mediterranean,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Algeria,"37.595408000000, 7.867908000000",Central Mediterranean,37.595408,7.867908,84.61,65.4,5
205,Mediterranean,2018,Nov,1.0,Unknown,1,56.0,1.0,Unknown,Unknown,Unknown,Spain,"35.944056000000, -4.296153000000",Western Mediterranean,35.944056,-4.296153,46.68,40.79,3
206,US-Mexico Border,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"27.499653000000, -99.505310000000",Central America to US,27.499653,-99.50531,44.2,30.07,2
207,US-Mexico Border,2018,Nov,3.0,Unknown,3,8.0,Unknown,Unknown,Unknown,Accident,Mexico,"32.662275000000, -116.223979000000",Central America to US,32.662275,-116.223979,64.15,62.06,2
208,US-Mexico Border,2018,Nov,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,Mexico,"27.778512000000, -98.724081000000",Central America to US,27.778512,-98.724081,73.04,51.63,5
209,US-Mexico Border,2018,Nov,2.0,Unknown,2,Unknown,1.0,1.0,Unknown,Accident,"California, USA","32.705055619243, -116.357761744710",Central America to US,32.705055619243,-116.35776174471,44.95,23.37,2
210,Europe,2018,Nov,1.0,Unknown,1,8.0,Unknown,Unknown,Unknown,Accident,Greece,"40.954982000000, 24.386152000000",Unknown,40.954982,24.386152,81.36,45.76,5
211,Mediterranean,2018,Nov,3.0,Unknown,3,90.0,Unknown,Unknown,Unknown,Drowning,Spain,"36.150154000000, -3.405538000000",Western Mediterranean,36.150154,-3.405538,83.08,51.28,5
212,Central America,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"29.097150000000, -110.919818000000",Unknown,29.09715,-110.919818,64.72,61.67,2
213,Europe,2018,Nov,4.0,Unknown,4,Unknown,Unknown,4.0,Unknown,Accident,Greece,"41.051762000000, 25.475700000000",Unknown,41.051762,25.4757,64.37,56.78,3
215,Central America,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,1.0,Sickness and lack of access to medicines,Mexico,"28.267376000000, -105.477996000000",Unknown,28.267376,-105.477996,57.39,43.04,3
216,US-Mexico Border,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"28.756048379149, -100.530605432730",Central America to US,28.756048379149,-100.53060543273,63.7,56.75,3
217,Mediterranean,2018,Nov,Unknown,1.0,1,13.0,Unknown,Unknown,Unknown,Drowning,Spain,"35.943355978115, -2.447945545313",Western Mediterranean,35.943355978115,-2.447945545313,64.41,61.92,2
218,Mediterranean,2018,Nov,20.0,9.0,29,39.0,2.0,27.0,Unknown,Drowning,Morocco,"35.332202000000, -2.746510000000",Western Mediterranean,35.332202,-2.74651,65.15,57.88,2
219,Middle East,2018,Nov,1.0,Unknown,1,26.0,Unknown,1.0,1.0,Accident,Turkey,"36.837397656734, 31.765854155410",Unknown,36.837397656734,31.76585415541,73.33,55.79,3
220,US-Mexico Border,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"32.525530100000, -117.009588600000",Central America to US,32.5255301,-117.0095886,86.44,64.08,5
221,Mediterranean,2018,Nov,1.0,13.0,14,42.0,1.0,Unknown,Unknown,Drowning,Spain,"36.125482848253, -3.019234607813",Western Mediterranean,36.125482848253,-3.019234607813,63.7,56.75,3
222,Mediterranean,2018,Nov,1.0,6.0,7,11.0,Unknown,7.0,Unknown,Drowning,Algeria,"37.101562000000, 7.867572000000",Central Mediterranean,37.101562,7.867572,48.55,40.42,3
223,US-Mexico Border,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Mexico,"32.604487000000, -115.379027000000",Central America to US,32.604487,-115.379027,73.12,55.89,3
224,US-Mexico Border,2018,Nov,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","27.088454736067, -98.224044482031",Central America to US,27.088454736067,-98.224044482031,57.62,52.1,2
225,US-Mexico Border,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,1.0,Sickness and lack of access to medicines,Mexico,"32.525530100000, -117.009588600000",Central America to US,32.5255301,-117.0095886,62.94,51.4,2
226,US-Mexico Border,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,1.0,Accident,Mexico,"32.511197835073, -116.080225617040",Central America to US,32.511197835073,-116.08022561704,84.23,63.09,5
227,US-Mexico Border,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"California, USA","32.673095138309, -115.391251701330",Central America to US,32.673095138309,-115.39125170133,66.59,64.9,4
228,Mediterranean,2018,Nov,1.0,Unknown,1,10.0,Unknown,1.0,Unknown,Drowning,Turkey,"36.957355521278, 27.406164084473",Eastern Mediterranean,36.957355521278,27.406164084473,85.38,63.58,5
229,Mediterranean,2018,Nov,2.0,7.0,9,1.0,1.0,8.0,Unknown,Drowning,Spain,"36.207723272813, -6.263366759375",Western Mediterranean,36.207723272813,-6.263366759375,93.36,66.4,8
230,US-Mexico Border,2018,Nov,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","27.330210520667, -98.630746182528",Central America to US,27.330210520667,-98.630746182528,78.9,67.18,4
231,North Africa,2018,Nov,Unknown,22.0,22,3.0,Unknown,1.0,1.0,Drowning,Morocco,"29.822677770283, -10.210486774219",Western African,29.822677770283,-10.210486774219,91.34,65.6,7
233,US-Mexico Border,2018,Nov,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","26.955081229481, -97.828384703299",Unknown,26.955081229481,-97.828384703299,86.69,62.47,6
235,Sub-Saharan Africa,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Niger,"13.511667000000, 2.125278000000",Unknown,13.511667,2.125278,61.5,56.48,2
236,US-Mexico Border,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"25.888653822568, -97.523186761530",Central America to US,25.888653822568,-97.52318676153,83.14,64.21,5
237,Central America,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,Mexico,"19.025215788750, -96.317462928047",Unknown,19.02521578875,-96.317462928047,32.59,19.48,1
239,US-Mexico Border,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Texas, USA","26.097296000000, -98.261871000000",Unknown,26.097296,-98.261871,99.92,70.92,7
240,Mediterranean,2018,Nov,4.0,6.0,10,3.0,Unknown,2.0,Unknown,Drowning,Italy,"38.844062326256, 8.408826454492",Central Mediterranean,38.844062326256,8.408826454492,85.72,64.91,5
241,US-Mexico Border,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Texas, USA","27.381818793300, -99.448285378522",Central America to US,27.3818187933,-99.448285378522,50.69,43.82,2
242,Europe,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Serbia,"44.765773000000, 20.467632000000",Western Balkans,44.765773,20.467632,71.64,47.62,6
243,Horn of Africa,2018,Nov,5.0,Unknown,5,Unknown,2.0,1.0,1.0,Murdered,Ethiopia,"8.271988000000, 34.587575000000",Unknown,8.271988,34.587575,49.61,33.67,2
244,US-Mexico Border,2018,Nov,1.0,Unknown,1,1.0,1.0,Unknown,Unknown,Unknown,"Texas, USA","27.194011764208, -98.274634046484",Central America to US,27.194011764208,-98.274634046484,35.9,17.21,1
245,Mediterranean,2018,Nov,6.0,4.0,10,5.0,4.0,5.0,6.0,Drowning,"Lesvos, Greece","39.076232633511, 26.729897242187",Eastern Mediterranean,39.076232633511,26.729897242187,96.07,62.85,6
246,South Asia,2018,Nov,2.0,Unknown,2,5.0,Unknown,2.0,Unknown,Murdered,Iran,"27.149020794829, 63.291549697656",Unknown,27.149020794829,63.291549697656,86.0,59.01,9
247,Europe,2018,Nov,1.0,Unknown,1,9.0,1.0,Unknown,Unknown,Accident,Greece,"40.706812500000, 23.191562500000",Western Balkans,40.7068125,23.1915625,49.06,33.01,2
248,Europe,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Serbia,"44.522738789151, 19.151800033374",Western Balkans,44.522738789151,19.151800033374,67.8,47.7,3
249,Sub-Saharan Africa,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Mali,"12.639167000000, -8.002778000000",Unknown,12.639167,-8.002778,62.68,54.66,2
250,Sub-Saharan Africa,2018,Nov,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Sickness and lack of access to medicines,Niger,"16.967643000000, 7.985137000000",Unknown,16.967643,7.985137,66.18,55.18,3
251,Europe,2018,Nov,1.0,Unknown,1,27.0,Unknown,1.0,1.0,Accident,Greece,"40.739954570559, 23.016855162231",Western Balkans,40.739954570559,23.016855162231,87.17,66.35,5
252,Mediterranean,2018,Nov,2.0,Unknown,2,13.0,Unknown,2.0,1.0,Unknown,Spain,"36.709463477802, -4.221767056592",Western Mediterranean,36.709463477802,-4.221767056592,62.49,59.14,2
253,Mediterranean,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Spain,"35.896543454211, -5.300197427261",Western Mediterranean,35.896543454211,-5.300197427261,65.67,47.81,2
254,Mediterranean,2018,Nov,Unknown,1.0,1,40.0,Unknown,1.0,Unknown,Drowning,Italy,"35.203978684726, 12.812646562500",Central Mediterranean,35.203978684726,12.8126465625,98.99,65.71,8
255,US-Mexico Border,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Texas, USA","27.031213823663, -97.970171350586",Central America to US,27.031213823663,-97.970171350586,98.99,65.71,8
256,Mediterranean,2018,Nov,Unknown,5.0,5,Unknown,1.0,4.0,Unknown,Drowning,Algeria,"37.596845000000, 7.868337000000",Central Mediterranean,37.596845,7.868337,86.4,59.75,5
257,Middle East,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,Syria,"36.829138418553, 37.987020277664",Unknown,36.829138418553,37.987020277664,76.83,50.92,8
258,Sub-Saharan Africa,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mali,"11.316667000000, -5.666667000000",Unknown,11.316667,-5.666667,47.41,32.22,2
259,Sub-Saharan Africa,2018,Nov,3.0,Unknown,3,Unknown,1.0,1.0,1.0,Accident,Mali,"11.316667000000, -5.666667000000",Unknown,11.316667,-5.666667,98.99,65.71,8
260,US-Mexico Border,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"28.330220711783, -100.301303382470",Central America to US,28.330220711783,-100.30130338247,63.87,43.78,3
261,Central America,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"19.911531499716, -99.363792495337",Unknown,19.911531499716,-99.363792495337,64.42,58.31,3
262,Middle East,2018,Nov,5.0,Unknown,5,16.0,Unknown,Unknown,Unknown,Accident,Turkey,"38.645007505791, 44.204894246094",Unknown,38.645007505791,44.204894246094,60.86,42.56,2
263,Sub-Saharan Africa,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Mali,"11.316667000000, -5.666667000000",Unknown,11.316667,-5.666667,67.26,46.75,4
264,Mediterranean,2018,Nov,23.0,Unknown,23,22.0,Unknown,9.0,Unknown,Drowning,Spain,"36.146208377123, -6.010210826953",Western Mediterranean,36.146208377123,-6.010210826953,96.83,66.44,8
265,Mediterranean,2018,Nov,13.0,18.0,31,80.0,Unknown,13.0,Unknown,Drowning,Spain,"35.537958511526, -2.934664072461",Western Mediterranean,35.537958511526,-2.934664072461,96.79,62.94,8
266,Europe,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Greece,"39.488630000000, 20.280311000000",Unknown,39.48863,20.280311,96.55,62.87,7
267,US-Mexico Border,2018,Nov,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","31.967683100000, -113.013308300000",Central America to US,31.9676831,-113.0133083,84.53,52.91,5
268,Sub-Saharan Africa,2018,Nov,2.0,Unknown,2,Unknown,1.0,1.0,1.0,Accident,Mali,"10.487500000000, -5.653611000000",Unknown,10.4875,-5.653611,50.48,41.31,3
269,Sub-Saharan Africa,2018,Nov,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Sickness and lack of access to medicines,Burkina Faso,"12.050000000000, 0.366667000000",Unknown,12.05,0.366667,93.75,62.95,9
270,Sub-Saharan Africa,2018,Nov,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Accident,Burkina Faso,"12.190000000000, 1.390000000000",Unknown,12.19,1.39,68.17,49.88,9
271,US-Mexico Border,2018,Nov,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"Texas, USA","28.507101348765, -100.318219816460",Central America to US,28.507101348765,-100.31821981646,78.74,67.57,4
